Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,Country,City,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Order_Status,Payment_Method,Gross_Sales,Discount_Amount,Net_Sales,Month
1001,2024-03-11,C002,Ananya Iyer,Corporate,India,Delhi,Electronics,Wireless Mouse,2,1200,0.05,Completed,UPI,2400,120,2280,March
1002,2024-01-09,C010,Pooja Kulkarni,Corporate,India,Chennai,Furniture,Bookshelf,1,6500,0,Completed,UPI,6500,0,6500,January
1003,2024-06-15,C009,Vikram Rao,Corporate,India,Chennai,Electronics,Power Bank,5,2200,0.15,Completed,Debit Card,11000,1650,9350,June
1004,2024-06-27,C001,Rahul Sharma,Consumer,India,Pune,Electronics,Monitor 24 inch,4,14500,0.1,Completed,Debit Card,58000,5800,52200,June
1005,2024-04-07,C002,Ananya Iyer,Corporate,India,Hyderabad,Electronics,Keyboard,1,3500,0.1,Completed,UPI,3500,350,3150,April
1006,2024-02-01,C008,Sneha Verma,Home Office,India,Jaipur,Stationery,Pen Set,4,450,0,Completed,Debit Card,1800,0,1800,February
1007,2024-06-29,C010,Pooja Kulkarni,Corporate,India,Chennai,Electronics,Power Bank,1,2200,0,Completed,UPI,2200,0,2200,June
1008,2024-04-07,C004,Neha Singh,Home Office,India,Hyderabad,Electronics,Keyboard,3,3500,0.15,Completed,Debit Card,10500,1575,8925,April
1009,2024-06-28,C004,Neha Singh,Home Office,India,Delhi,Furniture,Office Chair,1,8500,0.2,Completed,Credit Card,8500,1700,6800,June
1010,2024-04-07,C003,Arjun Mehta,Consumer,India,Chennai,Stationery,Notebook Pack,3,300,0.2,Completed,UPI,900,180,720,April
1011,2024-03-21,C004,Neha Singh,Home Office,India,Mumbai,Electronics,Wireless Mouse,4,1200,0.1,Completed,Debit Card,4800,480,4320,March
1012,2024-04-11,C004,Neha Singh,Home Office,India,Pune,Stationery,Notebook Pack,4,300,0.05,Completed,Debit Card,1200,60,1140,April
1013,2024-05-29,C010,Pooja Kulkarni,Corporate,India,Chennai,Furniture,Bookshelf,4,6500,0.1,Returned,Credit Card,26000,2600,23400,May
1014,2024-01-24,C009,Vikram Rao,Corporate,India,Delhi,Stationery,Notebook Pack,1,300,0,Completed,Net Banking,300,0,300,January
1015,2024-04-08,C010,Pooja Kulkarni,Corporate,India,Ahmedabad,Electronics,Keyboard,4,3500,0.2,Completed,UPI,14000,2800,11200,April
1016,2024-03-09,C002,Ananya Iyer,Corporate,India,Pune,Stationery,Pen Set,3,450,0,Completed,Net Banking,1350,0,1350,March
1017,2024-05-08,C001,Rahul Sharma,Consumer,India,Mumbai,Furniture,Office Chair,2,8500,0.2,Cancelled,Debit Card,17000,3400,13600,May
1018,2024-02-20,C009,Vikram Rao,Corporate,India,Delhi,Stationery,Marker Set,2,250,0.1,Completed,UPI,500,50,450,February
1019,2024-05-05,C010,Pooja Kulkarni,Corporate,India,Hyderabad,Furniture,Study Table,1,12000,0,Cancelled,Debit Card,12000,0,12000,May
1020,2024-03-02,C004,Neha Singh,Home Office,India,Mumbai,Electronics,Wireless Mouse,5,1200,0,Completed,UPI,6000,0,6000,March
1021,2024-02-02,C009,Vikram Rao,Corporate,India,Delhi,Electronics,Monitor 24 inch,4,14500,0.2,Completed,Net Banking,58000,11600,46400,February
1022,2024-06-25,C004,Neha Singh,Home Office,India,Kochi,Stationery,Pen Set,2,450,0.1,Returned,Debit Card,900,90,810,June
1023,2024-04-25,C008,Sneha Verma,Home Office,India,Chennai,Stationery,Pen Set,1,450,0.05,Completed,UPI,450,22.5,427.5,April
1024,2024-02-28,C010,Pooja Kulkarni,Corporate,India,Bangalore,Stationery,Pen Set,5,450,0.05,Completed,UPI,2250,112.5,2137.5,February
1025,2024-01-09,C004,Neha Singh,Home Office,India,Jaipur,Electronics,Keyboard,3,3500,0,Completed,Net Banking,10500,0,10500,January
1026,2024-02-03,C004,Neha Singh,Home Office,India,Ahmedabad,Stationery,Pen Set,5,450,0.2,Completed,Net Banking,2250,450,1800,February
1027,2024-01-25,C007,Sameer Khan,Corporate,India,Hyderabad,Electronics,Power Bank,1,2200,0.15,Completed,Net Banking,2200,330,1870,January
1028,2024-01-16,C001,Rahul Sharma,Consumer,India,Mumbai,Electronics,Keyboard,4,3500,0.1,Completed,Credit Card,14000,1400,12600,January
1029,2024-02-05,C009,Vikram Rao,Corporate,India,Pune,Stationery,Notebook Pack,4,300,0.05,Completed,UPI,1200,60,1140,February
1030,2024-01-26,C008,Sneha Verma,Home Office,India,Bangalore,Stationery,Pen Set,1,450,0.2,Returned,Credit Card,450,90,360,January
1031,2024-05-04,C003,Arjun Mehta,Consumer,India,Kochi,Furniture,Bookshelf,4,6500,0.05,Cancelled,Credit Card,26000,1300,24700,May
1032,2024-04-09,C007,Sameer Khan,Corporate,India,Pune,Electronics,Wireless Mouse,3,1200,0.15,Completed,Net Banking,3600,540,3060,April
1033,2024-03-16,C003,Arjun Mehta,Consumer,India,Nagpur,Electronics,Power Bank,2,2200,0,Completed,UPI,4400,0,4400,March
1034,2024-01-13,C006,Priya Nair,Consumer,India,Jaipur,Electronics,Wireless Mouse,5,1200,0.15,Cancelled,Credit Card,6000,900,5100,January
1035,2024-01-21,C001,Rahul Sharma,Consumer,India,Nagpur,Stationery,Pen Set,2,450,0,Completed,Credit Card,900,0,900,January
1036,2024-05-25,C007,Sameer Khan,Corporate,India,Nagpur,Electronics,Keyboard,2,3500,0.2,Completed,UPI,7000,1400,5600,May
1037,2024-05-24,C007,Sameer Khan,Corporate,India,Pune,Stationery,Marker Set,5,250,0.1,Completed,Debit Card,1250,125,1125,May
1038,2024-04-11,C004,Neha Singh,Home Office,India,Ahmedabad,Furniture,Office Chair,2,8500,0.1,Completed,UPI,17000,1700,15300,April
1039,2024-06-08,C001,Rahul Sharma,Consumer,India,Mumbai,Stationery,Notebook Pack,5,300,0,Completed,Debit Card,1500,0,1500,June
1040,2024-01-18,C003,Arjun Mehta,Consumer,India,Pune,Furniture,Study Table,2,12000,0.1,Completed,Debit Card,24000,2400,21600,January
1041,2024-01-03,C010,Pooja Kulkarni,Corporate,India,Mumbai,Stationery,Pen Set,5,450,0.1,Cancelled,Credit Card,2250,225,2025,January
1042,2024-01-28,C005,Karan Patel,Consumer,India,Pune,Electronics,Keyboard,5,3500,0.05,Completed,Credit Card,17500,875,16625,January
1043,2024-06-24,C006,Priya Nair,Consumer,India,Ahmedabad,Electronics,Power Bank,3,2200,0.2,Completed,UPI,6600,1320,5280,June
1044,2024-03-11,C002,Ananya Iyer,Corporate,India,Hyderabad,Furniture,Bookshelf,1,6500,0,Completed,Debit Card,6500,0,6500,March
1045,2024-05-21,C003,Arjun Mehta,Consumer,India,Bangalore,Stationery,Notebook Pack,4,300,0.2,Completed,Credit Card,1200,240,960,May
1046,2024-04-04,C009,Vikram Rao,Corporate,India,Delhi,Electronics,Wireless Mouse,5,1200,0.2,Completed,UPI,6000,1200,4800,April
1047,2024-01-11,C005,Karan Patel,Consumer,India,Chennai,Furniture,Study Table,3,12000,0.05,Completed,Debit Card,36000,1800,34200,January
1048,2024-06-07,C009,Vikram Rao,Corporate,India,Delhi,Furniture,Bookshelf,2,6500,0.05,Returned,Credit Card,13000,650,12350,June
1049,2024-02-15,C007,Sameer Khan,Corporate,India,Chennai,Electronics,Wireless Mouse,3,1200,0.15,Completed,UPI,3600,540,3060,February
1050,2024-04-30,C007,Sameer Khan,Corporate,India,Ahmedabad,Electronics,Wireless Mouse,2,1200,0.05,Completed,Credit Card,2400,120,2280,April
1051,2024-06-17,C004,Neha Singh,Home Office,India,Hyderabad,Electronics,Wireless Mouse,2,1200,0.15,Completed,UPI,2400,360,2040,June
